distrito;inep;unidade_escolar;creche;pre_escola;1_ano;2_ano;3_ano;4_ano;5_ano;6_ano;7_ano;8_ano;9_ano;eja_ai;eja_af
6;23272708;EMTI JOSE CARVALHO;0;0;0;0;0;0;0;111;113;114;115;0;0
6;23275154;EMTI LAIS RODRIGUES DE ALMEIDA;0;0;0;0;0;0;0;112;152;188;0;0;0
6;23272007;EMTI MARIA ODETE DA SILVA COLARES;0;0;0;0;0;0;0;116;156;116;75;0;0
6;23065346;EMTI PROF.? ANTONIO GIRAO BARROSO;0;0;0;0;0;0;0;74;74;111;74;0;0
6;23067829;E.M. DEMOCRITO ROCHA;0;0;0;0;0;0;64;205;151;225;225;0;0
6;23069953;E.M. FRANCISCA ORIA SERPA;0;0;0;0;0;0;0;94;114;137;73;0;0
6;23273763;E.M. FRANCISCA ORIA SERPA - UNID II;0;0;150;124;120;96;102;75;73;0;79;0;0
6;23235128;E.M. ISABEL FERREIRA;129;245;132;125;132;131;133;0;0;0;0;0;0
6;23071427;E.M. ISMAEL PORDEUS;96;0;64;54;67;69;68;152;159;150;155;57;76
6;23071796;E.M. JOAO GERMANO DA PONTE NETO;115;291;140;99;109;127;125;0;0;0;0;0;0
6;23546018;E.M. JOAO NOGUEIRA JUCA;101;100;77;64;75;72;56;0;0;0;0;0;0
6;23235373;E.M. JOAO SARAIVA LEAO;76;180;136;132;160;212;172;0;0;0;0;33;79
6;23324260;E.M. JORNALISTA JOSE BLANCHARD GIRAO DA SILVA;243;200;85;83;84;115;89;0;0;0;0;0;0
6;23250429;E.M. JOSE BARROS DE ALENCAR;0;73;46;54;56;59;0;0;0;0;0;0;0
6;23186771;E.M. JOSE MOREIRA LEITAO;199;237;131;164;158;168;190;0;0;0;0;0;0
6;23256478;E.M. JOSE SOBREIRA DE AMORIM;34;80;35;50;47;59;48;0;0;0;0;0;0
6;23078693;E.M. JOSEFA BARROS DE ALENCAR;0;143;109;80;65;63;93;0;0;0;0;0;0
6;23256001;E.M. LIONS CLUBE FORTALEZA FATIMA;0;0;87;103;67;61;61;0;0;0;0;0;0
6;23244291;E.M. MANOELITO GUIMARAES DOMINGUES;68;174;101;97;85;86;95;0;0;0;0;0;0
