distrito;inep;unidade_escolar;creche;pre_escola;1_ano;2_ano;3_ano;4_ano;5_ano;6_ano;7_ano;8_ano;9_ano;eja_ai;eja_af
I;23259418;E.M. 11 DE AGOSTO;67;51;0;0;0;0;0;231;214;226;110;0;0
I;23263296;E.M. AGOSTINHO MOREIRA E SILVA;144;246;123;115;146;0;0;0;0;0;0;76;160
I;23264144;E.M. ALDEIDES REGIS;118;149;128;106;145;0;0;0;0;0;0;0;0
I;23215267;E.M. ANTONIO CORREIA LIMA;0;0;0;0;0;0;0;119;171;237;188;34;145
I;23184221;E.M. ANTONIO MENDES;66;35;0;0;0;339;348;0;0;0;0;0;0
I;23066520;E.M. CASIMIRO JOSE DE LIMA FILHO;115;305;151;72;0;0;0;0;0;0;0;0;0
I;23066628;E.M. CASTELO DE CASTRO;144;186;118;94;102;58;95;0;0;0;0;0;0
I;23067691;E.M. CRISTO REDENTOR;0;0;0;0;0;0;0;202;146;152;94;27;93
I;23529989;ETI ALDEMIR MARTINS;0;0;0;0;0;0;0;104;70;101;52;0;0
I;23271493;ETI NOSSA SENHORA DE FATIMA;139;8;0;0;0;0;0;138;100;104;66;0;0
I;23271507;E.M. DOIS DE DEZEMBRO;72;31;58;139;263;323;338;0;0;0;0;0;0
I;23255668;E.M. DOM ANTONIO BATISTA DE FRAGOSO;0;0;0;0;0;0;0;128;202;101;67;0;0
I;23234300;E.M. DOM HELDER CAMARA;67;104;83;90;127;90;107;0;0;0;0;0;0
I;23069937;E.M. FAUSTINO DE ALBUQUERQUE;72;75;98;95;122;157;123;0;0;0;0;0;0
I;23255870;E.M. FRANCISCO DAS CHAGAS DE FARIAS;0;0;38;65;83;78;92;0;0;0;0;0;0
I;23070021;E.M. FRANCISCO DOMINGOS DA SILVA;0;0;0;0;0;0;0;386;273;148;0;71;170
I;23257873;E.M. FRANCISCO EDILSON PINHEIRO;188;9;20;44;174;182;136;0;0;0;0;0;0
I;23071168;E.M. FRANCISCO SILVA CAVALCANTE;0;0;0;0;0;0;0;122;125;110;100;0;0
I;23068892;E.M. FREI LAURO SCHWARTE;0;0;34;45;59;90;94;118;98;81;52;52;0
I;23070870;E.M. GUSTAVO BARROSO;53;29;18;47;28;53;50;36;53;29;31;23;58
I;23234318;E.M. HERONDINA LIMA CAVALCANTE;0;0;0;25;61;120;136;277;272;0;0;56;74
I;23071028;E.M. HILBERTO SILVA;0;0;45;108;232;223;215;0;0;0;0;70;69
I;23256036;E.M. JADER DE FIGUEIREDO CORREIA;0;71;42;75;58;142;162;0;0;0;0;0;0
I;23255749;E.M. JESUS CRISTO;0;0;59;64;88;131;108;0;0;0;0;0;0
I;23072270;E.M. JOSE DE ALENCAR;0;0;0;0;0;0;0;98;256;205;122;61;159
I;23263334;E.M. LENIRA JUREMA DE MAGALHAES;55;139;84;119;135;0;0;0;0;0;0;0;0
I;23263326;E.M. LORHAN MARQUES MEDEIROS;0;115;122;98;0;0;0;0;0;0;0;0;0
I;23255641;E.M. MANOEL RODRIGUES;0;0;0;0;0;0;0;185;162;193;116;0;0
I;23255854;E.M. MARIA DALVA SEVERINO MARREIRO;0;77;72;43;0;0;0;0;0;0;0;0;0
I;23257881;E.M. MARIA MARIZA MENDES DE CARVALHO;78;248;131;138;0;0;0;0;0;0;0;0;0
I;23190787;E.M. MARIA ROSELI LIMA MESQUITA;155;167;84;98;154;159;163;0;0;0;0;29;119
I;23074876;E.M. MOURA BRASIL;39;69;18;44;29;79;51;45;58;56;33;0;0
I;23255889;E.M. NOSSA SENHORA DO PERPETUO SOCORRO;0;0;0;0;0;0;0;190;217;181;117;0;0
I;23272716;E.M. PATATIVA DO ASSARE;0;110;82;91;120;120;116;0;0;0;0;0;0
I;23072504;E.M. PROFESSOR JOSE PARSIFAL BARROSO;0;0;0;0;0;0;0;92;65;180;107;0;0
I;23072520;E.M. PROFESSOR JOSE REBOUCAS MACAMBIRA;62;60;0;0;56;114;109;176;172;189;159;46;85
I;23074140;E.M. PROFESSOR MARTINZ DE AGUIAR;33;113;0;0;0;0;0;148;174;121;75;29;72
I;23076682;E.M. QUINTINO CUNHA;0;0;22;80;146;153;124;0;0;0;0;0;0
I;23255960;E.M. RACHEL DE QUEIROZ;95;228;110;93;114;0;0;0;0;0;0;0;0
I;23255951;E.M. RAIMUNDO DE SOUSA MANGUEIRA;155;209;36;82;158;106;83;0;0;0;0;0;0
I;23263318;E.M. REITOR PEDRO TEIXEIRA BARROSO;0;0;0;0;0;0;0;156;130;217;159;0;0
I;23069198;E.M. SANTA TEREZA;60;0;0;0;119;109;114;140;0;0;0;0;0
I;23067756;E.M. SAO CURA DARS;134;74;41;62;64;84;81;0;0;0;0;0;0
I;23077450;E.M. SEBASTIANA ALDIGUERI;0;0;0;0;0;0;0;0;169;161;207;0;0
I;23547987;E.M. SECRETARIO PAULO PETROLA;0;0;0;0;0;117;106;128;96;59;31;0;0
I;23311614;E.M. TERTULIANO CAMBRAIA;132;250;121;75;0;0;0;0;0;0;0;0;0
I;23256044;E.M. VIRGILIO TAVORA;115;199;114;90;0;0;0;0;0;0;0;0;0
II ;23064870;E.M. ALBA FROTA;67;179;95;90;49;0;0;0;0;0;0;0;0
II ;23064994;E.M. ALMERINDA DE ALBUQUERQUE;139;96;64;69;87;56;79;0;0;0;0;19;130
II ;23065052;E.M. ALVORADA;91;176;82;69;0;0;0;0;0;0;0;0;0
II ;23067330;E.M. COLONIA Z-8;0;40;43;44;82;56;78;0;0;0;0;0;0
II ;23264810;ETI AMBIENTAL DRª FRANCISCA DE ASSIS C. DA FROTA;0;59;39;42;29;61;49;0;0;0;0;0;0
II ;23065028;ETI PROFESSOR ALVARO COSTA;0;0;0;0;0;0;0;101;94;66;45;0;0
II ;23069317;ETI PROFESSORA ANTONIETA CALS;70;29;0;0;0;0;0;112;68;48;24;0;0
II ;23547995;E.M. DOM ALOISIO LORSCHEIDER;66;134;63;69;69;88;75;164;149;101;57;54;70
II ;23068302;E.M. ELEAZAR DE CARVALHO;0;87;58;44;64;51;48;0;0;0;0;0;0
II ;23250275;E.M. FREI AGOSTINHO FERNANDES;99;78;51;54;88;87;52;0;0;0;0;0;0
II ;23186160;E.M. FREI TITO DE ALENCAR LIMA;92;159;62;79;123;114;87;132;122;105;64;28;87
II ;23257369;E.M. GODOFREDO DE CASTRO FILHO;20;154;77;72;75;75;85;71;98;97;54;79;68
II ;23077611;E.M. IRMA SIMAS;0;0;41;52;156;161;126;0;0;0;0;72;90
II ;23071427;E.M. ISMAEL PORDEUS;142;23;40;47;84;89;103;183;154;86;54;87;117
II ;23257482;E.M. JOSE CARLOS DE PINHO;77;136;64;59;59;73;67;0;0;0;0;0;0
II ;23072350;E.M. JOSE DIAS MACEDO;149;24;15;25;44;39;51;59;0;0;0;59;63
II ;23072512;E.M. JOSE RAMOS TORRES DE MELO;123;0;0;0;0;0;0;286;278;230;117;53;91
II ;23256478;E.M. JOSE SOBREIRA DE AMORIM;155;99;49;54;58;54;52;0;0;0;0;0;0
II ;23233729;E.M. LUIS ANGELO PEREIRA;97;180;56;70;0;0;0;0;0;0;0;0;0
